,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
100,KBSTAR 미국S&P원유생산기업(합성 H),219390,해외지수/해외지수,606,2615,581464,35.49,0.25,케이비자산운용
101,TIGER 코스피,277630,시장지수/코스피200,606,28020,34957,22.97,0.15,미래에셋자산운용
102,KODEX 미국달러선물,261240,통화/미국달러,579,9745,92353,-6.03,0.25,삼성자산운용
104,KBSTAR 중기우량회사채,136340,채권/회사채권,546,105095,1632,0.63,0.15,케이비자산운용
105,KBSTAR 중국본토대형주CSI100,174360,해외지수/해외지수,543,20740,54127,8.19,0.65,케이비자산운용
108,KBSTAR 국고채3년선물인버스,282000,파생상품/인버스,527,99435,10098,0.33,0.07,케이비자산운용
109,KODEX 코스피대형주,337140,스타일/스타일,508,13360,28042,25.45,0.15,삼성자산운용
110,KBSTAR IT플러스,326240,섹터/IT,505,18640,171334,19.68,0.4,케이비자산운용
111,KOSEF 단기자금,130730,채권/단기자금,499,101910,685459,0.14,0.15,키움투자자산운용
114,TIGER 미디어컨텐츠,228810,섹터/경기소비재,471,5620,133565,-2.01,0.5,미래에셋자산운용
115,TIGER 반도체,091230,섹터/IT,467,32390,45661,21.27,0.46,미래에셋자산운용
116,KBSTAR KRX300,292050,시장지수/KRX300,462,17715,10357,24.27,0.05,케이비자산운용
117,KOSEF 통안채1년,122260,채권/국공채권,461,102385,668943,0.14,0.15,키움투자자산운용
118,HANARO e커머스,322400,테마/기타,447,14395,49783,6.2,0.45,엔에이치아문디자산운용
119,TIGER 미국채10년선물,305080,해외지수/해외지수,441,11620,29604,-7.19,0.29,미래에셋자산운용
120,HANARO 200선물레버리지,304780,파생상품/레버리지,438,23615,11712,56.24,0.45,엔에이치아문디자산운용
121,TIGER 농산물선물Enhanced(H),137610,상품/농산물,431,5085,76481,17.84,0.7,미래에셋자산운용
122,TIGER 미국다우존스30,245340,해외지수/해외지수,407,16945,19316,6.71,0.35,미래에셋자산운용
123,KBSTAR 중장기국공채액티브,272570,채권/국공채권,403,104080,704,-0.31,0.07,케이비자산운용
124,KINDEX KIS종합채권(AA-이상)액티브,356540,채권/회사채권,398,99585,26,-0.6,0.07,한국투자신탁운용
125,KBSTAR 국고채3년,114100,채권/국공채권,374,113420,735,-0.15,0.12,케이비자산운용
128,KOSEF 코스닥150,316670,시장지수/코스닥,367,7360,8168,17.97,0.15,키움투자자산운용
130,HANARO 코스닥150,304770,시장지수/코스닥,364,14730,25353,18.36,0.2,엔에이치아문디자산운용
132,TIGER 미국달러단기채권액티브,329750,채권/단기자금,357,9440,46860,-6.07,0.3,미래에셋자산운용
133,KODEX 미국달러선물레버리지,261250,파생상품/레버리지,351,8775,102319,-11.9,0.45,삼성자산운용
134,KODEX IT,266370,섹터/IT,340,18820,29594,27.16,0.45,삼성자산운용
135,KODEX 200가치저변동,223190,스타일/스타일,339,9955,54264,25.85,0.3,삼성자산운용
136,KOSEF 국고채3년,114470,채권/국공채권,338,112805,656,-0.15,0.15,키움투자자산운용
137,KODEX 미디어&엔터테인먼트,266360,섹터/IT,338,18655,21261,-1.17,0.45,삼성자산운용
138,KBSTAR 200선물레버리지,252400,파생상품/레버리지,336,19720,66391,55.83,0.6,케이비자산운용
139,TIGER KRX300,292160,시장지수/KRX300,335,17600,27213,24.95,0.09,미래에셋자산운용
140,KODEX 중국본토 A50,169950,해외지수/해외지수,332,21955,14288,8.02,0.99,삼성자산운용
141,TIGER 200IT레버리지,243880,파생상품/레버리지,330,50495,19335,67.23,0.69,미래에셋자산운용
142,KODEX China H,099140,해외지수/해외지수,329,20510,7671,4.35,0.37,삼성자산운용
143,KODEX Fn멀티팩터,337120,투자전략/투자전략,329,13130,38969,23.63,0.3,삼성자산운용
144,KBSTAR KQ고배당,270800,스타일/스타일,324,14700,54513,23.01,0.3,케이비자산운용
145,KBSTAR 200선물인버스2X,252420,파생상품/인버스,323,2755,603868,-37.88,0.6,케이비자산운용
146,KODEX China H 레버리지(H),204450,파생상품/레버리지,323,6650,38735,21.13,0.64,삼성자산운용
147,TIGER 미국나스닥바이오,203780,해외지수/해외지수,320,19980,22864,11.74,0.3,미래에셋자산운용
148,KODEX 미국나스닥100선물(H),304940,해외지수/해외지수,314,16150,48415,17.41,0.45,삼성자산운용
149,KINDEX 코스닥150,354500,시장지수/코스닥,311,14750,14647,17.76,0.1,한국투자신탁운용
150,TIGER 차이나CSI300인버스(합성),217780,파생상품/인버스,310,8315,18250,-7.46,0.59,미래에셋자산운용
151,KINDEX 골드선물 레버리지(합성 H),225130,파생상품/레버리지,310,19325,37947,0.55,0.49,한국투자신탁운용
152,TIGER 200 에너지화학,139250,섹터/소재,304,17235,57801,29.98,0.4,미래에셋자산운용
153,TIGER 현대차그룹+펀더멘털,138540,그룹주/현대차,301,21130,48507,25.48,0.15,미래에셋자산운용
154,KODEX 고배당,279530,스타일/스타일,300,8555,61209,17.68,0.3,삼성자산운용
155,KODEX MSCI KOREA ESG유니버설,289040,시장지수/MSCI Korea Index,296,11320,5621,25.5,0.3,삼성자산운용
156,KOSEF 인도Nifty50(합성),200250,해외지수/해외지수,287,14030,20477,17.6,0.49,키움투자자산운용
157,HANARO 200선물인버스,306520,파생상품/인버스,285,10230,43969,-20.76,0.45,엔에이치아문디자산운용
158,ARIRANG 코스피,227830,시장지수/코스피200,284,28285,15400,23.13,0.2,한화자산운용
159,TIGER 코스닥150선물인버스,250780,파생상품/인버스,283,4660,1366678,-17.89,0.32,미래에셋자산운용
160,KOSEF 미국달러선물,138230,통화/미국달러,282,11705,11347,-6.06,0.37,키움투자자산운용
161,SMART KIS단기통안채,363510,채권/단기자금,280,100110,345,0.09,0.13,신한비엔피파리바자산운용
162,TIGER 200TR,310960,시장지수/코스피200,278,19805,14030,25.67,0.09,미래에셋자산운용
163,KBSTAR 글로벌4차산업IT(합성 H),276650,해외지수/해외지수,271,19490,22355,16.43,0.4,케이비자산운용
164,ARIRANG 미국S&P500(H),269540,해외지수/해외지수,270,15045,15268,14.45,0.3,한화자산운용
165,TREX 200,108590,시장지수/코스피200,267,38105,219,25.28,0.33,유리자산운용
166,KODEX 건설,117700,섹터/산업재,267,2800,224640,27.85,0.45,삼성자산운용
167,KODEX 미국S&P고배당커버드콜(합성 H),276970,파생상품/구조화,264,9490,29635,12.95,0.3,삼성자산운용
168,KINDEX 중장기국공채액티브,272910,채권/국공채권,263,102500,86,-0.41,0.08,한국투자신탁운용
169,ARIRANG 미국장기우량회사채,332620,채권/회사채권,261,101050,837,-4.09,0.32,한화자산운용
170,KOSEF 200선물레버리지,253250,파생상품/레버리지,254,19430,25384,55.5,0.46,키움투자자산운용
171,파워 200,152870,시장지수/코스피200,251,38525,9748,25.46,0.15,교보악사자산운용
172,KBSTAR 대형고배당10TR,315960,스타일/스타일,251,14740,26215,28.62,0.15,케이비자산운용
173,KBSTAR 200TR,361580,시장지수/코스피200,248,19000,404,25.54,0.05,케이비자산운용
174,KBSTAR 게임테마,300640,테마/기타,246,12900,17640,6.09,0.3,케이비자산운용
175,TIGER 레버리지,123320,파생상품/레버리지,246,20405,738720,56.18,0.09,미래에셋자산운용
176,TIGER 200 헬스케어,227540,섹터/의료,245,29790,19446,16.16,0.4,미래에셋자산운용
177,KODEX 배당성장,211900,스타일/스타일,242,13400,21471,18.01,0.15,삼성자산운용
178,ARIRANG 단기채권액티브,278620,채권/단기자금,229,105775,776,0.17,0.13,한화자산운용
179,KODEX TRF3070,329650,기타/기타,225,10770,8456,2.33,0.24,삼성자산운용
180,KBSTAR 중국MSCI China선물(H),310080,해외지수/해외지수,223,13830,49719,7.63,0.6,케이비자산운용
181,KODEX 바이오,244580,섹터/의료,221,16125,54980,20.34,0.45,삼성자산운용
182,TIGER 200 금융,139270,섹터/금융,217,6200,36159,22.14,0.4,미래에셋자산운용
183,ARIRANG 미국단기우량회사채,332610,채권/회사채권,215,93655,268,-5.44,0.32,한화자산운용
184,KOSEF 미국달러선물인버스2X,230480,파생상품/인버스,213,9160,9779,12.88,0.64,키움투자자산운용
185,KODEX 미국채울트라30년선물(H),304660,해외지수/해외지수,211,13235,13333,-4.3,0.3,삼성자산운용
186,TIGER KIS부동산인프라채권TR,341850,기타/기타,207,5230,16963,3.0,0.22,미래에셋자산운용
187,ARIRANG 고배당저변동50,251590,투자전략/투자전략,206,9790,5659,16.83,0.23,한화자산운용
188,KODEX 배당성장채권혼합,237370,기타/기타,205,11365,5895,5.09,0.19,삼성자산운용
189,HANARO 고배당,322410,스타일/스타일,205,8880,42440,19.4,0.25,엔에이치아문디자산운용
190,FOCUS KRX300,292730,시장지수/KRX300,195,17760,1207,24.33,0.1,브이아이자산운용
191,KINDEX 국고채3년,114460,채권/국공채권,193,107235,164,-0.19,0.15,한국투자신탁운용
192,KOSEF 미국달러선물레버리지,225800,파생상품/레버리지,192,8380,21683,-11.97,0.64,키움투자자산운용
193,KODEX 미국S&P바이오(합성),185680,해외지수/해외지수,191,36840,1879,32.02,0.25,삼성자산운용
194,KINDEX 인도네시아MSCI(합성),256440,해외지수/해외지수,191,8700,27086,20.67,0.7,한국투자신탁운용
195,TIGER 인도니프티50레버리지(합성),236350,파생상품/레버리지,190,14810,29618,35.0,0.59,미래에셋자산운용
196,KODEX 미국러셀2000(H),280930,해외지수/해외지수,189,13125,18416,38.67,0.45,삼성자산운용
197,FOCUS ESG리더스,285690,테마/SRI,186,9505,362,23.12,0.1,브이아이자산운용
198,ARIRANG 200선물인버스2X,253160,파생상품/인버스,186,5485,170932,-37.92,0.06,한화자산운용
199,KODEX MSCI밸류,275290,시장지수/MSCI Korea Index,185,11510,22082,24.23,0.3,삼성자산운용
201,TIGER 골드선물(H),319640,상품/금속,178,13720,16217,0.7,0.39,미래에셋자산운용
202,KINDEX 중국본토CSI300레버리지(합성),219900,파생상품/레버리지,177,5135,40532,16.97,0.5,한국투자신탁운용
203,KODEX 200exTOP,337150,시장지수/코스피200,176,12570,2516,20.17,0.3,삼성자산운용
204,ARIRANG 미국나스닥기술주,287180,해외지수/해외지수,175,19475,12262,16.48,0.5,한화자산운용
205,KODEX KRX300레버리지,306950,파생상품/레버리지,173,17235,9791,52.79,0.64,삼성자산운용
206,KODEX 200미국채혼합,284430,기타/기타,170,12540,10148,4.94,0.35,삼성자산운용
207,TIGER 코스닥150IT,261060,시장지수/코스닥,170,15465,38315,10.7,0.4,미래에셋자산운용
208,KODEX 필수소비재,266410,섹터/필수소비재,168,9355,14569,10.78,0.45,삼성자산운용
209,ARIRANG 코스피50,122090,시장지수/코스피50,168,26705,10533,25.7,0.33,한화자산운용
210,KODEX 한국대만IT프리미어,298770,기타/기타,168,16910,21050,20.96,0.55,삼성자산운용
211,KBSTAR 고배당,266160,스타일/스타일,167,11095,61668,23.88,0.2,케이비자산운용
212,TIGER 코스피고배당,210780,스타일/스타일,165,11650,9432,23.26,0.29,미래에셋자산운용
213,TIGER 화장품,228790,섹터/경기소비재,160,3410,148459,6.07,0.5,미래에셋자산운용
214,KODEX 헬스케어,266420,섹터/의료,159,22665,26825,21.14,0.45,삼성자산운용
215,ARIRANG KRX300,292750,시장지수/KRX300,159,17675,1200,24.87,0.09,한화자산운용
216,KOSEF 200 선물,152280,시장지수/코스피200,159,17025,168,25.32,0.23,키움투자자산운용
217,KODEX 국채선물10년,152380,채권/국공채권,158,71095,4897,-1.84,0.25,삼성자산운용
218,HANARO KRX300,304760,시장지수/KRX300,157,17485,3184,25.29,0.05,엔에이치아문디자산운용
219,TIGER 단기선진하이일드(합성 H),182490,해외지수/해외지수,157,12045,2554,4.83,0.25,미래에셋자산운용
220,KODEX 미국S&P에너지(합성),218420,해외지수/해외지수,156,5035,44185,18.05,0.25,삼성자산운용
221,KODEX 200롱코스닥150숏선물,360140,기타/기타,156,10350,8404,2.83,0.64,삼성자산운용
222,KINDEX 스마트밸류,272230,투자전략/투자전략,153,13910,14661,24.42,0.19,한국투자신탁운용
224,KODEX 구리선물(H),138910,상품/금속,152,6615,30549,18.87,0.68,삼성자산운용
225,KINDEX 미국IT인터넷S&P(합성 H),280320,해외지수/해외지수,151,19040,3140,19.15,0.5,한국투자신탁운용
226,TIGER 유로스탁스레버리지(합성 H),225050,파생상품/레버리지,151,7390,26738,21.55,0.59,미래에셋자산운용
227,KINDEX 밸류대형,143460,투자전략/투자전략,151,8840,25527,27.1,0.15,한국투자신탁운용
228,KINDEX 미국WideMoat가치주,309230,해외지수/해외지수,150,13670,7186,10.46,0.4,한국투자신탁운용
229,KBSTAR 5대그룹주,105780,그룹주/기타,149,7455,5660,27.44,0.4,케이비자산운용
231,KBSTAR 채권혼합,183700,기타/기타,149,62050,174,7.05,0.2,케이비자산운용
232,TIGER S&P글로벌헬스케어(합성),248270,해외지수/해외지수,149,14890,3298,0.68,0.4,미래에셋자산운용
233,KODEX 에너지화학,117460,섹터/소재,149,16255,24706,29.52,0.45,삼성자산운용
235,KBSTAR 중소형고배당,281990,스타일/스타일,145,10295,7456,16.72,0.3,케이비자산운용
236,KOSEF 코스닥150선물레버리지,291630,파생상품/레버리지,144,6795,16997,41.12,0.09,키움투자자산운용
238,KBSTAR 200IT,285000,섹터/IT,142,14825,8217,29.87,0.19,케이비자산운용
239,TIGER 200커뮤니케이션서비스,315270,시장지수/코스피200,142,25280,3628,1.26,0.4,미래에셋자산운용
240,KODEX 최소변동성,279540,투자전략/투자전략,142,11785,12430,13.7,0.3,삼성자산운용
241,파워 코스피100,140950,시장지수/코스피100,141,29235,243,24.9,0.16,교보악사자산운용
242,KODEX 코스닥150롱코스피200숏선물,360150,기타/기타,141,9410,2133,-5.09,0.64,삼성자산운용
243,KTOP 코스피50,168300,시장지수/코스피50,138,27130,526,25.46,0.3,하나유비에스자산운용
244,KOSEF Fn중소형,331910,스타일/스타일,135,19315,558,14.92,0.3,키움투자자산운용
245,KODEX 글로벌4차산업로보틱스(합성),276990,해외지수/해외지수,135,15950,9457,23.98,0.3,삼성자산운용
246,TIGER 미국달러선물인버스2X,261120,파생상품/인버스,135,10345,18173,12.81,0.47,미래에셋자산운용
247,KODEX 코스피100,237350,시장지수/코스피100,133,29330,9349,24.62,0.15,삼성자산운용
248,TIGER 유로스탁스배당30,245350,해외지수/해외지수,132,10940,12912,15.44,0.35,미래에셋자산운용
249,ARIRANG KS모멘텀가중TR,333960,투자전략/투자전략,131,14510,20124,19.42,0.25,한화자산운용
250,TIGER 200 건설,139220,섹터/산업재,131,2385,141068,29.97,0.4,미래에셋자산운용
251,TIGER 삼성그룹펀더멘털,138520,그룹주/삼성,131,11655,10646,29.21,0.15,미래에셋자산운용
252,ARIRANG 우량회사채50 1년,239660,채권/회사채권,130,108380,185661,0.15,0.14,한화자산운용
253,TIGER 200 중공업,139230,섹터/산업재,129,2840,154190,25.94,0.4,미래에셋자산운용
254,KINDEX S&P아시아TOP50,277540,해외지수/해외지수,129,14225,17600,13.26,0.7,한국투자신탁운용
255,KBSTAR 코스피ex200,361590,시장지수/코스피200,127,11570,5288,17.7,0.25,케이비자산운용
256,TIGER 글로벌자원생산기업(합성 H),276000,해외지수/해외지수,125,11395,1477,19.7,0.4,미래에셋자산운용
257,KINDEX 싱가포르리츠,316300,해외지수/해외지수,125,11175,2946,-3.71,0.4,한국투자신탁운용
259,KODEX 3대농산물선물(H),271060,상품/농산물,124,9020,22635,19.47,0.55,삼성자산운용
260,KOSEF 국고채10년레버리지,167860,파생상품/레버리지,123,137355,409,-3.6,0.3,키움투자자산운용
261,TIGER 일본TOPIX헬스케어(합성),248260,해외지수/해외지수,123,12265,403,-6.87,0.4,미래에셋자산운용
