Symbol,Name,Industry,IndustryCode
SOAC.U,Sustainable Opportunities Acquisition Corp Unit,기타 금융업,556010
AENZ,Aenza SAA ADR,건설 및 엔지니어링,522010
SCE PR G,SCE Trust II PRF,기타 금융업,556010
AFB,Alliancebernstein National Municipal Income Fund Inc,다양한 금융서비스,555010
ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,다양한 금융서비스,555010
OPY,Oppenheimer Holdings Inc Class A,은행,551010
ACRE,Ares Commercial Real Estate Corp,주택 및 상업용 리츠,601020
NEV,Nuveen Enhanced Municipal Value Fund,다양한 금융서비스,555010
MUX,McEwen Mining Inc,메탈&마이닝,512010
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,다양한 금융서비스,555010
BYM,BlackRock Municipal Income Quality Trust,다양한 금융서비스,555010
CPLG,CorePoint Lodging Inc,주택 및 상업용 리츠,601020
ETP PR D,Energy Transfer Operating LP PRF,오일 및 가스 장비 및 서비스,501030
ARA,American Renal Associates Holdings Inc,헬스케어 업체 및 서비스,561020
ESTE,Earthstone Energy Inc Class A,오일 및 가스,501020
SGU,Star Group LP Unit,오일 및 가스,501020
PMM,Putnam Managed Municipal Income Trust,다양한 금융서비스,555010
SWBK.U,Switchback II Corp,기타 금융업,556010
AMOV,America Movil SAB de CV ADR,통신 서비스,574010
PMX,PIMCO Municipal Income Fund III,다양한 금융서비스,555010
HIGA.U,HIG Acquisition Corp,기타 금융업,556010
HPF,John Hancock Preferred Income Fund II,다양한 금융서비스,555010
ETP PR C,Energy Transfer Operating LP PRF,오일 및 가스 장비 및 서비스,501030
MBI,MBIA Inc,보험,553010
PEO,Adams Natural Resources Fund Inc,다양한 금융서비스,555010
SPFR.U,Jaws Spitfire Acquisition Corp,기타 금융업,556010
BSN,Broadstone Acquisition Corp Class A,기타 금융업,556010
HIG PR G,Hartford Financial Services Group Inc ADR,보험,553010
PIPP,Pine Island Acquisition Corp Class A,기타 금융업,556010
CEPU,Central Puerto SA ADR,전기 유틸리티,591010
PDAC.U,Peridot Acquisition Corp,기타 금융업,556010
NCZ,Allianzgi Convertible & Income Fund II,다양한 금융서비스,555010
MCR,MFS Charter Income Trust,다양한 금융서비스,555010
FCAX.U,Fortress Capital Acquisition Corp,,
DSM,BNY Mellon Strategic Municipal Bond Fund Inc,다양한 금융서비스,555010
BKT,Blackrock Income Trust Inc,다양한 금융서비스,555010
APTS,Preferred Apartment Communities Inc,주택 및 상업용 리츠,601020
TWND.U,Tailwind Acquisition Corp,기타 금융업,556010
ALUS,Alussa Energy Acquisition Corp Class A,기타 금융업,556010
MMT,MFS Multimarket Income Trust,다양한 금융서비스,555010
ATAC,Altimar Acquisition Corp Class A,기타 금융업,556010
DEH.U,D8 Holdings Corp Unit,기타 금융업,556010
YAC.U,Yucaipa Acquisition Corp,기타 금융업,556010
