,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
257,ARIRANG 미국단기우량회사채,332610,채권/회사채권,230,100160,167,0.56,0.32,한화자산운용
258,KODEX TRF7030,329670,기타/기타,225,13265,6510,-2.39,0.1,삼성자산운용
259,HANARO 고배당,322410,스타일/스타일,224,11480,7068,0.26,0.25,엔에이치아문디자산운용
260,KODEX TRF5050,329660,기타/기타,220,12230,7335,-3.05,0.17,삼성자산운용
261,KODEX Fn시스템반도체,395160,섹터/IT,220,9130,52613,-8.38,0.45,삼성자산운용
262,TIGER 삼성그룹펀더멘털,138520,그룹주/삼성,219,11080,8775,-5.94,0.15,미래에셋자산운용
264,KTOP 코스피50,168300,시장지수/코스피50,215,25685,181,-8.92,0.3,하나유비에스자산운용
266,KODEX 배당성장채권혼합,237370,기타/기타,213,11855,5503,-1.08,0.19,삼성자산운용
267,ARIRANG 코스피,227830,시장지수/코스피200,213,28425,8032,-8.41,0.2,한화자산운용
268,TIGER K게임,300610,테마/기타,213,14690,55944,-18.25,0.5,미래에셋자산운용
269,TIGER 200 에너지화학,139250,섹터/소재,207,16430,35140,-14.23,0.4,미래에셋자산운용
272,KOSEF 코스피100,153270,시장지수/코스피100,194,27680,1930,-8.33,0.2,키움자산운용
274,KODEX 미국나스닥100선물인버스(H),409810,해외지수/해외지수,192,11290,225522,9.88,0.3,삼성자산운용
275,KODEX 에너지화학,117460,섹터/소재,190,16000,30722,-14.21,0.45,삼성자산운용
276,KODEX 다우존스미국리츠(H),352560,기타/기타,190,14590,14877,-4.48,0.3,삼성자산운용
277,FOCUS KRX300,292730,시장지수/KRX300,189,17095,107,-7.77,0.1,브이아이자산운용
278,TIGER KRX300,292160,시장지수/KRX300,187,17055,3821,-7.39,0.09,미래에셋자산운용
279,TIGER MSCI KOREA ESG리더스,289260,시장지수/MSCI Korea Index,187,10195,1932,-8.4,0.4,미래에셋자산운용
280,KINDEX 코스닥150,354500,시장지수/코스닥,186,13245,1725,-10.26,0.02,한국투자신탁운용
281,KODEX 글로벌4차산업로보틱스(합성),276990,해외지수/해외지수,181,16730,4881,-12.52,0.3,삼성자산운용
282,SOL 유럽탄소배출권선물S&P(H),400580,해외지수/해외지수,178,12695,42144,-6.34,0.55,신한자산운용
283,KODEX 보험,140700,섹터/금융,175,6985,97012,5.35,0.45,삼성자산운용
285,KINDEX KRX금현물,411060,상품/금속,174,10940,223062,8.75,0.5,한국투자신탁운용
286,HANARO 글로벌탄소배출권선물ICE(합성),401590,해외지수/해외지수,173,11560,44905,-5.36,0.5,엔에이치아문디자산운용
287,KODEX 코스피100,237350,시장지수/코스피100,169,28205,4382,-8.01,0.15,삼성자산운용
288,ARIRANG 단기채권액티브,278620,채권/단기자금,168,106370,154,0.24,0.13,한화자산운용
289,KODEX 200가치저변동,223190,스타일/스타일,168,10460,3946,-4.43,0.3,삼성자산운용
290,KOSEF 코스닥150,316670,시장지수/코스닥,167,6510,4088,-11.19,0.15,키움투자자산운용
291,KODEX MSCI KOREA ESG유니버설,289040,시장지수/MSCI Korea Index,166,11015,2024,-7.51,0.3,삼성자산운용
292,KODEX 게임산업,300950,테마/기타,165,12675,37363,-23.94,0.45,삼성자산운용
293,KODEX 200롱코스닥150숏선물,360140,기타/기타,165,10455,2384,0.24,0.64,삼성자산운용
295,TIGER 글로벌자원생산기업(합성 H),276000,해외지수/해외지수,157,16525,9164,20.05,0.4,미래에셋자산운용
296,KOSEF Fn중소형,331910,스타일/스타일,157,23740,2023,2.11,0.3,키움투자자산운용
297,TIGER 유로스탁스배당30,245350,해외지수/해외지수,156,12075,9518,-5.82,0.35,미래에셋자산운용
298,KODEX 구리선물(H),138910,상품/금속,155,8680,36442,9.73,0.68,삼성자산운용
299,KODEX S&P글로벌인프라(합성),269420,해외지수/해외지수,154,13255,12673,7.02,0.26,삼성자산운용
301,HANARO KRX300,304760,시장지수/KRX300,151,16820,685,-7.92,0.05,엔에이치아문디자산운용
302,TIGER 은행,091220,섹터/금융,150,8230,66787,2.75,0.46,미래에셋자산운용
304,KODEX 미국채10년선물,308620,해외지수/해외지수,149,11505,10232,-2.95,0.3,삼성자산운용
305,TIGER 단기선진하이일드(합성 H),182490,해외지수/해외지수,147,12270,1330,-1.76,0.24,미래에셋자산운용
306,에셋플러스 코리아플랫폼액티브,407820,테마/기타,147,9135,19545,-8.42,0.98,에셋플러스자산운용
307,KBSTAR 채권혼합,183700,기타/기타,146,60875,85,-2.59,0.2,케이비자산운용
308,TIMEFOLIO 탄소중립액티브,404120,테마/녹색성장,146,8560,16435,-11.39,0.8,타임폴리오자산운용
310,FOCUS ESG리더스,285690,테마/SRI,146,10765,287,-3.32,0.1,브이아이자산운용
311,KODEX 3대농산물선물(H),271060,상품/농산물,144,14585,36361,31.51,0.55,삼성자산운용
