,game_id,회차,성적,타자_1_1,타자_1_2,타자_1_3,타자_1_4,타자_1_5,타자_1_6,타자_1_7,타자_1_8,타자_2_1,타자_2_2,타자_2_3,타자_2_4,타자_2_5,타자_2_6,타자_2_7,타자_2_8,타자_2_9
89,201900161,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
90,201900173,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
91,201900173,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
92,201900173,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
93,201900173,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
94,201900173,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
95,201900173,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
96,201900173,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,201900173,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
98,201900173,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
99,201900176,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,201900176,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
101,201900176,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
102,201900176,4,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
103,201900176,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
104,201900176,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
105,201900176,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106,201900176,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
107,201900176,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
108,201900177,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
109,201900177,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
110,201900177,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
111,201900177,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
112,201900177,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
113,201900177,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,201900177,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
115,201900177,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,201900177,9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,201900183,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
118,201900183,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
119,201900183,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,201900183,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
121,201900183,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,201900183,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
123,201900183,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
124,201900183,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
125,201900183,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
